"ID","GENRE_NAME","GENRE_CODE","REMARKS","DELETE_FLG","VERSION","CREATED","MODIFIED","MODIFIED_BY"
"193","キリスト教史. 迫害史","192","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"194","聖書","193","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"195","信仰録. 説教集","194","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"196","教会. 聖職","195","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"197","典礼. 祭式. 礼拝","196","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"198","布教. 伝道","197","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"199","各教派. 教会史","198","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"200","ユダヤ教","199","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"201","歴史","200","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"202","歴史学","201","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"203","歴史補助学","202","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"204","参考図書［レファレンスブック］","203","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"205","論文集. 評論集. 講演集","204","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"206","逐次刊行物","205","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"207","団体：学会，協会，会議","206","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"208","研究法. 指導法. 歴史教育","207","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"209","叢書. 全集. 選集","208","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"210","世界史. 文化史","209","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
